25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
0.9048,1.2381,0,0,0,0.619,5.8333,0,0.7857,0,0,0,21.0236,32.2901,7.0856,1.1714,0,0.1952,0,2.2143,0,0.5857,0,3.1571,4.4095,3.0857,0.8714
0,0,0,0,0,0,2.5333,0,0,0.9857,0,0,2.8714,7.6285,1.7857,0,0,1.3952,0,0,0,0,0,0.7714,1.5524,0,0
2.0714,0,0,0,-0.0143,1.3809,4.5619,1.0524,0,0,0,0,4.8238,9.5427,0.4619,0,1.2333,0,0.7095,0,0.7714,0,0,0,0.1571,1.5809,0
0,0,0,0,0,0,2.9714,0,0,0.4619,0.6428,1.0857,1.2857,13.7713,0.2238,0,0,0,0.6238,0.3762,0,1.019,0,0,0.5286,0.9524,0
0,0,0,0.3809,0,1.0857,2.2095,0,0.3333,0,0,3.6,2.8,8.3666,1.7095,2.9571,1.6524,1.0524,0,0,0.2667,0,0.6857,0,0,0,0
0,0,0,0,1.7714,0,1.0524,3.1095,0,0,0,0,7.8666,6.3095,0.9428,0,0,0,0,0,0,0,0,0.4143,4.8476,0.5905,0
0,0,0,0.6048,0,0,3.2904,0,0.6,0,0,4.4142,12.4094,37.4948,0.9,1.7095,1.2095,0,0,0,0,0,0,0,0,0,0
0,5.3952,0,0,0,2.4762,9.1951,0,0,0,0,0,18.8522,28.6711,14.4046,1.7286,0.6428,0,2.919,0.6714,1.8333,2.3619,0,2.5428,4.9142,0,2.2381
0,1.2524,0.6571,0.2571,0,0,0.9571,0,1.2047,0,0,0.0619,4.2714,7.4999,0,0,0.5095,0,0,0,0,0.5238,0.6667,1.8095,0.4809,0,0
0,2.3476,0,0.0381,0.519,0,1.6524,0,0,0.5429,0,0,19.6093,26.5092,1.9524,0.6476,1.2524,0,0.7095,-0.0524,0,0.3333,0,2.7381,1.9381,0.5762,0
0.0381,1.4333,0,0,1.5524,0,17.5855,0,0.0238,0.9524,-0.0476,0,35.4139,35.3948,2.819,0,0,0,1.2333,0,0,1.1238,0,3.7,5.1761,0.8286,0
0,3.0666,0,0,0,0,0,0,0,0,0.5619,0,14.1046,13.4189,1.4667,0,1.4809,0,0.2286,0,0,0,0,1.5,2.9428,1.9905,0
1.9666,2.4381,0,0,0,0.3381,0,0,0,0.4476,0,-0.0048,7.1333,14.0713,0.5333,0.4476,1.1143,0,0.2619,0,1.4428,0.8952,0,0.9571,0.8619,1.4952,0.3333
0.7,2.3857,0.5857,0,0,3.8952,8.6666,0,0,0.719,0,0,18.9474,26.0759,8.0999,7.3618,1.7666,1.4143,0,0,0,0.4667,0.2809,0.6524,1.3286,-0.0095,0
0,0,0,0.0238,2.3571,1.3333,4.9047,0,0.8238,1.1714,0,0,2.5952,13.257,0.6809,0.8762,1.0857,0,1.1714,0,0,0,0.2333,5.819,6.6999,4.1142,0
0,0,0,0,0,0.9238,1.3238,0,0,0,0,2.1571,5.4904,7.2713,0,0,1.9381,0,0,0,0,0,0,1.0381,0,0,0
1.2047,0,0.5095,0,0,2.0952,1.7428,0,0,0,0,0.5571,0.419,11.5475,1.0714,0,0,0.6667,0,0,0,1.5524,0,1.2047,0,1.5809,0
0,1.1476,0,0,0.819,1.0952,2.1809,1.7476,1.7047,0,0,1.5762,8.7285,9.6713,0,3.9285,0.8619,1.1714,0,0.4048,0.2333,0,0.7809,4.3285,1.0476,0,0
0,1.6809,-0.0476,0.8,0,0,0,0,0,0,0.4143,1.1143,4.3619,11.5761,0.3381,0,3.1762,1.2,0.8524,0,0,0,0,0,0,4.9047,0
0,0.7143,1.8333,0,0.7,0,22.2378,0,0,0.3667,0,0,20.9521,29.3711,2.0095,5.1571,3.6571,0,0.5429,1.2476,0.2809,0.5905,0.3667,5.7333,7.0094,1.2571,0
0,0.8381,0,1.9952,0,1.8571,3.2428,0.8,0,0,0,0,6.2047,7.3047,1.1143,0.5,0.4809,0,0.3238,0.3571,0,0,0,0.8143,0.6286,0,0
0,3.1952,0,0,0,0,2.1714,0,0,0,0,0.8857,7.7999,11.5713,1.7428,0,0,0,1.7524,0,0,1.1333,0,0,0.3048,0,0.9048
0,4.3142,0,0.0333,0.7762,0.6048,18.4236,0,0.5238,0,0,0,17.8903,33.8139,0,3.4333,3.2428,5.138,0,0,0.9476,0,0.3476,2.1857,0.3619,2.6143,0
0.3429,2.4333,0,0,0.3286,0,5.8761,0,0,0,0,-0.0333,9.7713,23.2235,0,0,1.619,0.8524,0,0,0,-0.0048,0,2.9619,0.2143,0.9619,0.0143
0.4476,0,0,0,0,0,7.919,0,0,0.1,0,0,12.9046,13.1999,1.3095,1.5762,0.719,0,0.7,0,-0.0333,1.3286,0,0,0,0,0.7524
0,5.5809,0,0,0,1.0857,2.0238,0,0,0,0,1.2905,6.0809,11.6999,0,1.7952,0,1.1143,0,0.9381,0,0,0,0.3857,4.0238,0.9,0.5429
0,0,0,3.3142,0.5286,0,3.4095,0,0,1.1238,0,0,3.6095,8.8999,0,0,0,0,1.1524,0.7952,0,0.3571,0,0,0.2905,0,0
0,1.8238,0,2.0762,0,0,4.9571,0,0.4857,0.4619,0,0,0.4143,6.6856,0.7667,1.1762,0.8905,3,0.519,0,0,0,0.7143,1.3047,1.2238,0,0
0,0,0.3095,0,0,0,22.9188,1.0428,0.419,0.019,0.6,4.4333,37.1853,53.9613,6.2571,0,0.081,0,2.5143,1.2809,0,0,0.3809,1.6,6.9856,0,0
0,0,0,0.2571,0,0,12.0761,0,0.5714,0,0,0.6476,23.8616,63.2136,1.9524,10.2285,1.3238,1.9333,1.1952,0,0.5095,0,0.4571,0,0,5.2142,0
0,0,1.4095,2.4095,0,2.9619,4.0809,0,0,0,0.5476,0,5.9237,11.0618,0.6238,0,0,0,0,0,1.3095,0,0.7762,0,1.8714,0.8905,0
0,0.6667,0,0.2857,0.0952,0.9809,0.7952,0.8714,0.5238,0.3333,0,0,22.1569,49.5994,2.7762,4.7142,2.7762,0,0.7524,0,0,0.5,1.2428,0.8857,4.2285,3.6,2.1714
0.7095,0,0,0,0.5667,1.8095,1.9,0,1.3619,0.7571,0,0,6.2618,6.1761,0,0,0.7381,1.319,0.4048,0,0.2286,0.5905,0,1.4143,3.3666,1.5905,0
0,1.4143,0,0.8952,1.419,0,0,0,0.7571,0,0,1.8809,15.0617,9.4094,3.1666,1.4809,7.9285,0,0.3762,0,0,0.3381,1.7619,2.7714,0.619,0,0
0,0,0,0,0,0,0.7095,0,0,0,0,0,3.119,8.5285,0,1.6476,0,0.1429,0.2524,0,0,1.0238,1.4333,0,1.6666,0,0
0,0,0,0,0,0.9571,5.1238,0,0,0,1.4,0,16.0998,28.5949,4.038,0,1.2524,0,0.6809,0.4095,0,0.1571,0,0,1.1333,-0.0476,0
1.0714,1.6143,1.7857,2.1905,0,0,27.5759,0,0,0,0.4809,0,41.0329,188.3645,14.9475,3.2952,3.3333,3.6333,0,3.7761,-0.0667,0,0,0,2.6476,0,0
0,0,1.1047,1.1095,2.0381,0,6.3904,0,0,0,0,0,17.7427,19.7617,6.819,1.9,0,0,0,0.5809,1.0333,5.7428,0,0.5809,5.538,2.3476,0
0,0,0.3571,0,0,1.7619,0.3143,0,0,0,0,2.5666,6.5142,10.2094,2.1524,0,0.1429,2.0762,0,0,0,0,0.2762,2.619,0.5952,0.4809,0
0,0,0,0,0,0,0.0667,1.1095,0.1571,0,0,0,3.4,18.8331,0,1.2905,3.0762,0.7714,1.2143,0,0,0,1.1571,0.8857,0,0.4619,0.1048
0,0,0,0,0,0,1.3714,0,0,0,0,2.0428,6.2666,18.3665,5.9523,2.1095,2.2,2.7857,0,0,0.3714,0,0.5476,3.9476,2.3047,4.2666,0
0.5429,0,0,-0.2524,0,0,4.1095,0,0,0,0,0,0.2143,8.8761,0,0,1.3381,0,0,0.9476,0,0,0,1.1809,0,1.1428,0
0.8619,1.3381,0,0,0.5619,0.8381,3.4714,0,0,0,0,0,10.3094,18.5093,3.7714,0,0.6238,0,0,0,0,0,1.1,0.5762,0.6143,0,1.419
2.5,0,0,0,0,0,4.1238,0.9905,0,0,0,0,13.0189,13.8713,2.4,0,0,0.0048,0,0,0,1.7714,0,1.0762,4.3619,6.419,0.1
0.4095,0.6095,0,0,0,0.6381,3.6333,0,0,0,0.9905,0,10.8523,14.6475,2.419,0.3905,0.8048,0.9714,0.4571,0,0,0,0.3762,1.8047,0.8762,0.9048,0
0,1.0286,0,0,1.0905,2.3476,0,0,2.5095,0,0,0,8.9047,12.0475,1.6857,0,3.219,1.2286,1.7714,0,0,0,1.2,0.3286,4.6142,0,0
0,1.2,0,0,2.0762,0,9.2666,0,0.4476,0,0,1.7809,11.3761,17.5665,1.519,0,0.3571,0.9952,0,0,4.5809,0,0,0,1.6666,1.9571,0.2524
6.719,0,0.2381,0,0,0.7524,2.0476,0,0,0,3.2476,0,1.6286,8.657,0,0,0,0.7381,0,0,0,0,0,1.1952,1.3095,2.1333,1.0571
1.2,0,0,2.3047,0,1.3,3.4762,0,0,0.5905,0,0,10.3951,19.776,0.9476,0,0,3.1904,0,0,0,0,0,0.1476,0,1.8047,0.7
0,1.0762,2.1809,0,0,0.6048,3.9381,0,0.6524,0,0,0,1.4476,15.1855,0.6857,0,2.219,3.3666,0,0,0,0.8667,0.9381,0,0,0,0
0.7809,3.0047,0,0.7,0,0,5.6237,0,0,0,2.5904,0,9.338,10.2999,0,0,1.5714,0,0,1.3143,0,0,0,0,1.1476,1.7809,0
1.2714,0,0.8809,1.2143,0,0,1.5381,0,0.5095,0,0.4571,0,3.7238,6.738,1.4762,1.0286,0,0,0,0,-0.0095,0.319,0,0,1.8857,0,0.1524
0,0,2.3666,0,0,3.3619,0.4095,0.8048,0,0,0,0.919,0.9571,7.9713,0.4381,0,1.1762,0,0,0.5143,0,0,1.1095,0.4952,5.5666,1.8095,0
0,0.5429,0.9571,0,0,0,3.3238,0.2667,0,1.2619,0.5381,0.7619,13.0141,21.9521,0.0571,1.1047,2.5238,0,2.3381,0.5571,1.3476,0,0,0,1.5857,0,0
2.1333,0,1.0143,0,0,0,4.0571,0,0,0,0,0,1.2333,7.9237,0,0,0,0,0,0,0.3809,0.8952,0.1048,0,0.1905,1.2571,-0.0238
1.0095,1.0714,0,1.1476,0,0,1.0714,0,-0.0476,0.3429,0,0,12.6713,9.3047,3.4095,0,0.519,1.8095,0,0,0,0,0.5476,3.2809,0.3952,0,0
0,0,0,4.2904,0,1.3286,0,0,0,1.619,0,0,0.3333,6.1999,0,0,0,0,0,0,1.1952,0,2.0571,0.7095,0.3,0,0.119
0,1.0381,2.2095,0.6238,0.4524,0,2.9809,0,0,0,2.0571,0,10.5427,10.5618,5.6999,4.2095,3.0238,1.8857,0,0.8667,0,0,0,0.8809,0,0.6333,0
0,1.4952,0,0.0095,0,1.419,0.4238,0,1.5857,0,0,0.8238,4.5857,14.1713,0,0,0,0.3238,0,0,0,0,0,2.9095,2.6285,3.6523,0.2333
0,0,0,0,0,0.5429,0.1619,0,0,0,0,0,3.9476,7.2523,1.7143,0.5809,0.9476,0,0.3524,0,2.1285,0,0.4905,1.0714,0,0,0
0,0.3619,0,0,0,0,14.1713,0.5286,0,0,0,0,20.8855,77.6515,6.1904,2.0285,2.0666,0,2.6428,1.0143,0.7905,0.1238,0.9143,0,0,1.6095,0
0,2.2524,0,0,0,1.7666,1.3,0,1.2714,0,0,0,29.0901,56.1803,9.1761,3.9619,4.0095,0.2619,0,0,0,0,0.4667,0.8143,0,5.6476,0
