RT,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
36.144,1.433,0,0.286,0,0.962,0,0,1.943,1.029,0,0,0,5.433,9.571,1.61,1.524,2.448,1.067,0,0,0,0,0,0,1.01,0,0
36.799,0,1.3,0,0,0,0,5.462,0.867,0,0,0,0.49,4.833,9.776,0,0.729,0,2.809,0,0,0,0,0,1.414,0.767,0,0.443
36.849,0,3.186,0.838,0,1.571,0,4.89,0,0,0,1.338,0.186,4.952,7.652,0,0.538,0.243,0.257,0,0,0,0.914,1.429,4.505,3.186,1.21,1.314
37.05,0,0.805,0,0.557,0,0.833,0,0.705,0,0,0,0,3.443,7.09,1.105,1.114,0,0,0,0.652,0.019,0,0,0,0,1.643,0
37.735,1.881,0,0,0.924,0,0,1.39,0,0,1.067,0,0,11.9,9.495,0,0,0.571,0,0,1.095,2.181,0,0,1.048,4.581,1.052,0.852
37.777,0.976,2.09,1.29,0,-0.014,0,0,0,0,0,0,0,0,5.909,0,0.281,0,0.152,0,0,0,0,0,0.89,0.767,1.081,0
37.806,2.376,0.957,0,4.671,0,1.376,0,0,0,0.414,0,0.929,0,445.981,0.167,2.367,0,0.21,0,0,0,1.076,0,0.595,3.452,0.319,0
38.773,0,3.043,0,0,0,0.448,17.062,1.081,0,0.567,0,1.31,22.443,40.961,2.057,0.71,2.229,2.486,0,0,0,0,0,0.976,3.543,0.524,0
41.687,0.643,0,0,0,0,0,2.548,0,0,0,0,0,4.762,6.324,0,1.029,0.548,0.652,0,0,1.148,0.514,0.924,1.01,1.586,0.005,0
42.506,0,1.343,0,0,0,0,2.852,0,0,0.157,0,0,19.966,35.714,8.576,0.457,4.709,1.143,0,1.962,0,0,0,47.742,92.585,2.8,0
42.65,0,0.986,0,0,1.362,0,5.209,0,0,0,0.21,0,4.452,10.652,0,0,0,0,2.633,0,0,0,0,0,0.548,0,0.519
42.658,0,3.3,0.414,0,0.957,0,5.509,0,0,1.067,0,0,26.176,39.842,0,0,0,0,1.224,0,0,0,0.338,1.667,0.895,0,0
43.641,1.581,0,0,1,0,0,0.99,0.681,0.429,0.224,0.61,0,0,7.309,0.938,0,0,0,0,0,0,0.852,0,0,1.662,0.381,0.724
45.325,0,3.438,-0.014,0,0,0.943,3.662,0,0,0,0,0,7.024,18.947,0,0,0,0,0,1.452,0,0,0,5.2,1.352,0.176,0.295
46.286,0,1.419,0,0.319,0,1.857,10.757,0.29,0,0,-0.024,0,16.052,34.114,1.848,1.843,0.981,0,0.686,0.538,0.933,0,0,0.39,1.743,3.686,0
46.385,1.21,1.819,0,2.971,0.562,0,0,0,0,1.129,0,0,0.119,70.252,0,0,0,0,0,0.41,0,0,0.043,0.995,0.805,0.962,0
47.123,2.705,0,0,0,-0.014,0.61,15.752,0,1.562,0,0.51,0,33.004,44.88,9.728,2.257,4.795,0,0.786,0,1.286,0,0,2.667,3.276,0.771,0.543
47.294,0,1.081,0,0.243,0,2.133,1.91,2.638,0.314,0,0,0.814,2.343,7.719,5.433,0,0.362,0,0,0,1.186,0.757,0,0,0,0.305,0
51.872,1.281,0.738,2.09,0,0,0.9,6.509,0,0,0,0.086,0,14.39,16.466,0,0,-0.038,0,0,0,1.529,0,0,0,2.781,0,1.062
51.982,2.952,2.733,0.452,0.162,0,0,0.857,0,1.281,0,0,0,0,6.176,0,0,0,0,0.357,0,0,0,0,0.571,0.386,0,0
52.089,0,2.695,0,0,0,0.705,11.619,-0.029,1.181,0,0,0.786,6.709,6.638,0,0,1.81,0,0,0,0,0,1.838,1.31,2.795,3.014,0
52.81,0,1.671,0,0,0,0,31.523,0,1.233,0,0,0,41.69,95.608,5.171,0,4.657,0,0,0,0,0.986,1.452,0.957,0,1.695,0
52.887,3.843,0,0.01,0.614,0,0,0.957,0,0,0,0,0,4.614,7.362,0,0.49,1.548,0,0,0,1.276,0,0,0,0,-0.005,0
53.701,0,3.552,0,0.305,0,0,2.919,0,0,0,0,0.629,1.062,8,0,1.51,1.514,0,0.481,0,0,1.257,0,0.943,0.733,0,0
