25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U
0,-0.071,0.386,0.495,0,0,0,0,0,0,-0.014,0.729,0.657,246.269,1.067,0,0,0.605,0.443,0,0.338,0.614,1.01,0,0,0,0
0,0,0,0,0,3.205,0,0,1.252,0,1.2,0.495,0,291.797,0,0.719,2.757,0,0,0.376,1.062,0.51,0,0,0,0,0
0,0,0,1.667,2.567,0,1.805,1.748,0.414,0,0,0,0,1785.385,-0.033,1.262,0,2.829,0,1.3,5.057,0.557,0,0,1.986,0,0
0,0,0.281,0,0.705,0,0,0,0,0,0,0,1.314,1491.536,2.743,0.824,0.871,0.01,1.367,0.762,0.681,3.686,0,0,0,0,0
0.633,1.886,0.31,0,0,3.543,1.095,0.938,0,0.267,0,0,2.505,516.375,1.533,0,0.762,0,0,0.971,0,0.986,0.224,0,0,3.795,0
0,0.557,0,0,0,0,0,0,0,0.338,0,0,0,1056.259,3.219,0,0,1.243,0,1.338,2.329,2.352,0.829,2.352,0,0,0
0,0.557,0,0,0,0,0,0,0,0.338,0,0,0,1056.259,3.219,0,0,1.243,0,1.338,2.329,2.352,0.829,2.352,0,0,0
0,0.262,1.681,0,0,0.048,1.071,0,0,0.7,0,0,1.371,560.832,0.748,0.548,0,0,0,0.31,0.233,0.024,0,0,0,0.338,3.329
0,0,0,0,0,0,0,0,0,0,0,0,0,278.997,0,1.329,0.552,0.181,0,0,2.681,0,0,0,0.862,0,0.833
0,0,0,1.929,0,1.548,0,0,0,0,0,1.033,0,2151.594,0.9,0.162,1.333,0.733,0,0,1.414,0,0,4.562,1.138,0,0.505
0,0.938,0,1.038,1.167,0,0,0.629,0,0,0,0,1.157,274.692,0,0.619,0,0,0,0,1.91,0.029,0,1.048,0,0,0
0,0,0,0,0.605,0.929,0,0,0,0.61,0,0.214,0,281.482,1.038,0,0,0.514,0,0.462,1.643,0,0.419,2.476,0.467,0,0
0,0,0,0,0.024,0.557,1.038,0,0,0,0,0,0.552,1287.942,0,1.229,0,0,1.676,0,1.09,2.062,0,2.195,1.019,0.105,0
