,140Ce,natural_class_proba
342,7.043,0.999673316231
343,13.409,0.975693396384
344,19.214,0.976217543478
345,12.357,0.986669847101
346,46.247,0.899929566131
347,8.719,0.976492831111
348,9.0,0.99740218093
349,23.109,0.983225788881
350,7.167,0.999673316231
351,5.714,0.972464553592
352,46.904,0.899929566131
353,16.347,0.982714578717
354,23.2,0.983225788881
355,7.762,0.997801096085
356,6.79,0.999714815578
357,5.976,0.986128383247
358,32.857,0.856501932245
359,23.052,0.983225788881
360,10.452,0.998190415722
361,10.571,0.998190415722
362,7.838,0.997801096085
363,19.571,0.976217543478
364,71.175,0.576152532953
365,6.895,0.999746279568
366,22.228,0.983225788881
367,9.6,0.99740218093
368,9.819,0.99740218093
369,165.317,0.0191256100964
370,20.728,0.922178759154
371,13.481,0.975693396384
372,5.986,0.986128383247
373,14.362,0.959705805375
374,7.014,0.999673316231
375,6.209,0.950013518459
376,14.29,0.959705805375
377,14.871,0.955927563925
378,11.481,0.995281662302
379,7.524,0.959350990361
380,6.833,0.999746279568
381,29.3,0.983222741112
382,22.257,0.983225788881
383,85.07,0.362455276521
384,14.809,0.955927563925
385,8.038,0.997801096085
386,8.533,0.976492831111
387,46.919,0.899929566131
388,54.161,0.712139618825
389,19.214,0.976217543478
390,7.39,0.999673316231
391,13.857,0.975693396384
392,8.79,0.968110475785
393,8.067,0.997801096085
394,6.248,0.950013518459
395,20.757,0.922178759154
396,42.3,0.868830916871
397,12.871,0.986669847101
398,7.228,0.999673316231
399,10.895,0.998190415722
400,16.309,0.982714578717
401,9.128,0.99740218093
402,8.824,0.99740218093
403,20.29,0.976217543478
404,23.157,0.983225788881
405,15.224,0.983936626253
406,9.648,0.99740218093
407,7.638,0.959350990361
408,6.214,0.950013518459
409,88.932,0.321894463965
410,15.476,0.983936626253
411,10.357,0.998190415722
412,10.99,0.998190415722
413,16.776,0.956168222988
414,8.643,0.976492831111
415,10.405,0.998190415722
416,11.638,0.995281662302
417,11.676,0.995281662302
418,8.743,0.976492831111
419,12.162,0.986669847101
420,6.205,0.950013518459
421,13.743,0.975693396384
422,13.7,0.975693396384
423,7.671,0.997801096085
424,13.838,0.975693396384
425,9.367,0.99740218093
426,6.143,0.986128383247
