,25Mg,55Mn,59Co,60Ni,65Cu,66Zn,88Sr,90Zr,93Nb,95Mo,107Ag,109Ag,139La,140Ce,141Pr,143Nd,146Nd,147Sm,149Sm,153Eu,157Gd,159Tb,182W,206Pb,208Pb,232Th,238U,natural_class_proba
247,0.0,0.0,0.0,0.0,0.0,0.0,5.433,0.0,0.0,0.0,0.7709999999999999,0.0,11.547,20.143,1.8,0.929,1.695,0.0,0.252,0.01,0.0,0.0,0.805,0.605,0.0,1.619,0.0,0.9999999999996467
248,0.0,0.0,0.0,0.0,0.0,0.414,1.786,0.162,0.0,0.0,0.043,0.0,15.19,23.066,0.34299999999999997,1.0190000000000001,1.9480000000000002,0.248,0.0,0.5,0.0,0.405,1.248,1.624,2.8,2.081,0.0,0.9999999999999336
250,1.219,0.0,0.0,0.31,0.0,0.0,1.6480000000000001,0.0,2.638,0.0,0.0,0.0,8.381,22.595,3.2289999999999996,2.109,0.0,1.1,0.0,0.0,0.0,0.457,0.0,0.0,0.0,1.014,0.0,0.9999999999933256
251,1.095,0.805,0.624,0.0,0.61,0.0,4.048,0.0,0.0,0.0,0.505,0.995,1.005,6.867000000000001,0.0,0.376,0.0,0.44299999999999995,0.395,0.0,0.0,0.0,0.0,0.0,2.781,0.0,0.767,0.9999999503029018
252,0.91,1.4709999999999999,0.0,1.39,0.0,0.157,13.681,1.0759999999999998,1.4380000000000002,0.371,0.0,0.0,21.766,38.366,0.0,2.157,0.0,0.0,0.0,0.0,1.329,0.0,0.81,0.0,0.457,0.0,0.0,0.9999999136349612
253,0.0,2.019,1.2329999999999999,0.0,1.062,0.0,6.9239999999999995,5.7379999999999995,0.0,0.0,0.0,0.0,3.6289999999999996,16.962,0.0,1.295,1.581,0.0,0.0,0.0,0.0,2.124,0.257,0.0,1.19,1.286,1.548,0.9999999995650579
255,1.524,2.49,0.619,0.0,0.0,0.7,12.79,0.0,0.0,1.238,0.0,0.0,12.380999999999998,5.957000000000001,0.18100000000000002,0.0,0.0,2.7,0.0,0.0,0.28600000000000003,0.0,0.0,0.0,3.157,0.0,0.2,0.9999999999999971
257,0.0,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.795,0.0,0.0,10.243,7.852,0.0,0.0,2.033,0.0,0.757,0.0,0.629,1.505,0.0,0.0,2.957,2.1,0.6,0.9999999999857032
258,0.0,0.0,0.0,0.0,0.738,0.0,0.205,0.0,0.0,0.0,0.0,0.0,2.3,5.69,0.0,0.0,0.0,0.0,0.076,0.0,2.238,0.0,0.9,0.452,2.148,1.205,3.09,0.9999999999914511
259,0.0,0.0,0.0,0.0,0.0,0.0,2.6239999999999997,0.595,0.7759999999999999,0.0,0.0,0.0,0.914,9.514,4.157,0.0,0.0,0.429,0.0,0.9520000000000001,0.0,0.0,0.0,0.0,1.067,0.0,0.0,0.9999999094469245
260,0.0,2.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.629,0.0,5.614,7.733,1.271,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.976,0.0,1.052,0.695,0.657,0.99999999999006
261,0.0,0.0,1.043,0.0,0.0,0.0,7.276,0.0,1.41,0.0,0.0,0.0,0.23800000000000002,6.962000000000001,0.36700000000000005,0.0,1.314,0.0,0.0,3.1710000000000003,0.281,0.0,0.0,1.3619999999999999,3.1,0.0,0.0,0.9999999996673721
263,0.995,0.0,0.7290000000000001,2.667,0.0,1.5619999999999998,2.167,0.0,0.005,0.0,0.0,0.0,8.605,8.576,1.4240000000000002,0.0,0.0,0.0,0.0,0.805,2.838,0.39,0.0,0.0,0.6759999999999999,0.0,0.0,0.9999999999999871
264,0.9620000000000001,2.2430000000000003,0.0,0.01,0.0,0.0,0.7290000000000001,0.248,0.0,0.0,0.0,0.0,0.0,6.332999999999999,1.8619999999999999,1.633,0.0,1.881,0.757,0.0,0.0,1.167,1.081,0.0,0.748,0.0,1.167,0.9999996737002607
265,2.29,0.0,0.833,1.624,1.929,1.381,0.0,0.44799999999999995,0.0,0.0,0.0,0.0,0.695,12.027999999999999,1.8519999999999999,0.0,0.0,0.0,0.41,0.0,0.0,0.81,0.44799999999999995,0.0,2.8480000000000003,0.0,0.0,0.9999994856677478
266,0.0,0.0,0.0,0.0,2.195,0.0,1.814,0.0,0.038,0.0,0.652,0.0,10.262,19.624000000000002,1.986,0.948,2.7289999999999996,0.0,0.0,0.9620000000000001,0.943,0.0,0.0,0.971,0.0,3.219,1.186,0.999999999991009
